RFS,FS,LFS,Speed,Direction
near,near,near,slow,left
near,near,medium,slow,right
near,near,far,slow,right
near,medium,near,slow,left
near,medium,medium,slow,right
near,medium,far,slow,right
near,far,near,slow,left
near,far,medium,slow,right
near,far,far,slow,right
medium,near,near,slow,left
medium,near,medium,slow,left
medium,near,far,slow,right
medium,medium,near,slow,left
medium,medium,medium,slow,left
medium,medium,far,slow,right
medium,far,near,slow,left
medium,far,medium,slow,left
medium,far,far,slow,right
far,near,near,slow,left
far,near,medium,slow,left
far,near,far,slow,left
far,medium,near,slow,left
far,medium,medium,slow,left
far,medium,far,slow,left
far,far,near,slow,left
far,far,medium,slow,left
far,far,far,medium,straight
